SV	Plant	count_sum_SV	sample_number_SV	Nb_studies	sample_number_Plant	count_sum_Plant	SV_Rel_Abund	SV_Prev	Type
fee9e77fdb83531fa01368c9bcdc8cff	Bean	114	2	1	50	50000	0.228	4	Flexible
ff2ef39e50c27c08493d4cabd3e68dd2	Bean	5	2	1	50	50000	0.01	4	Flexible
fff7ea2cb4b3741f273345869fc5af45	Bean	14	2	1	50	50000	0.028	4	Flexible
002f96ffeecf6317880ba83643eaa3d2	Bean	1	1	1	50	50000	0.002	2	Flexible
0063691ed62d0429707741f13e84e2c2	Bean	2	1	1	50	50000	0.004	2	Flexible
00fc03d0dfad8790d6352170ed1445a8	Bean	7	1	1	50	50000	0.014	2	Flexible
01481ea8e7d102bb563fcaa15de33904	Bean	2	1	1	50	50000	0.004	2	Flexible
01bbe63153fb752ed161f7a9456ad32f	Bean	1	1	1	50	50000	0.002	2	Flexible
031276393ca1ccd6ab0665374d0973a0	Bean	12	1	1	50	50000	0.024	2	Flexible
034f1e6176da83099eaaefc19332b945	Bean	7	1	1	50	50000	0.014	2	Flexible
03e540b0883d313eceb5b7e4d1a91e55	Bean	2	1	1	50	50000	0.004	2	Flexible
04137dc9dd6507bd0cc7c0606f555dbd	Bean	1	1	1	50	50000	0.002	2	Flexible
0555bfa9b1f796258c0fe51d83ad8764	Bean	4	1	1	50	50000	0.008	2	Flexible
0574f97d08494316c593e7b02f5aa6e3	Bean	5	1	1	50	50000	0.01	2	Flexible
0575fc48be0b5a65605304e4db8ad6e1	Bean	11	1	1	50	50000	0.022	2	Flexible
0612786fcd4e1733cdcaffe36bd4788e	Bean	5	1	1	50	50000	0.01	2	Flexible
06477e335309c9d02916e16be67904b7	Bean	1	1	1	50	50000	0.002	2	Flexible
06c68f8f6e0182dee3c786516d525026	Bean	1	1	1	50	50000	0.002	2	Flexible
06dd4d3cf4bb814159d6c921d08570e6	Bean	1	1	1	50	50000	0.002	2	Flexible
07ddd0bd0bcb8c44312a67ac0ce1e809	Bean	2	1	1	50	50000	0.004	2	Flexible
084928e842107e1bfba53d8d154a8d6b	Bean	4	1	1	50	50000	0.008	2	Flexible
08e0a58bb1e75a5cd4f9c50916ab1d3e	Bean	2	1	1	50	50000	0.004	2	Flexible
0911d891ffe5cb01ad34360339cd917f	Bean	3	1	1	50	50000	0.006	2	Flexible
0945df974508a11c29b3d340747dc3df	Bean	1	1	1	50	50000	0.002	2	Flexible
098b04a03518f270d78dbc2ee9d8e846	Bean	2	1	1	50	50000	0.004	2	Flexible
09b5329f13b4c05964c0490abad5f4dd	Bean	8	1	1	50	50000	0.016	2	Flexible
09bfe97ea726767dc92c21358f3eaee1	Bean	3	1	1	50	50000	0.006	2	Flexible
0a41dfebf5377b6e0bf33f509d99e1dc	Bean	1	1	1	50	50000	0.002	2	Flexible
0bca9edf72ffeef63622d5fe0cb01794	Bean	2	1	1	50	50000	0.004	2	Flexible
0bdc71adade5c2d3645894d0cb146ec4	Bean	6	1	1	50	50000	0.012	2	Flexible
0c49b5de3f3a5b7d31c9dc2d911732ff	Bean	1	1	1	50	50000	0.002	2	Flexible
0c5c2b4c0ec9f7976fc9dedd879b6022	Bean	4	1	1	50	50000	0.008	2	Flexible
0d3a4c12be72cc4c2380181b03f1c00c	Bean	1	1	1	50	50000	0.002	2	Flexible
0d4180828725f7d441b7041a767be9e8	Bean	1	1	1	50	50000	0.002	2	Flexible
0d6286ec61a685ad842fdfc1af1cbe36	Bean	11	1	1	50	50000	0.022	2	Flexible
0d923ad53ff7a8985fba3fca0f94cb00	Bean	3	1	1	50	50000	0.006	2	Flexible
0e16f69eb3d52149cf0b3e1dfad969fa	Bean	2	1	1	50	50000	0.004	2	Flexible
0eb91bbe30797407eeb6e00f57fc5353	Bean	7	1	1	50	50000	0.014	2	Flexible
0ecfdaafe9ca0a0e62a7f546ee7aff24	Bean	1	1	1	50	50000	0.002	2	Flexible
0f2b463321ed9cfd7c0f1fcea0ed963f	Bean	1	1	1	50	50000	0.002	2	Flexible
0ff10f1a1763a755eb02eff3425a087c	Bean	2	1	1	50	50000	0.004	2	Flexible
102092a487a77512a09018d33ca84898	Bean	2	1	1	50	50000	0.004	2	Flexible
10547f90a992277cbeb96c0c08d1c43c	Bean	2	1	1	50	50000	0.004	2	Flexible
123cb1d03fb04eca09fb53554158a2a7	Bean	1	1	1	50	50000	0.002	2	Flexible
12c939dc69a6521650a4e295c9711413	Bean	3	1	1	50	50000	0.006	2	Flexible
12fbfb6631c540ce2f5cb0344f399d71	Bean	2	1	1	50	50000	0.004	2	Flexible
134410bcf582bc6d3f63ee93e99efada	Bean	2	1	1	50	50000	0.004	2	Flexible
13e5680189da12eb7ff1808740ee3af8	Bean	9	1	1	50	50000	0.018	2	Flexible
13fc0802bcacb61f875651a353d4c8e9	Bean	1	1	1	50	50000	0.002	2	Flexible
1403a168869aac9792ca4bd214744715	Bean	2	1	1	50	50000	0.004	2	Flexible
14903b2bd68f34f29c207f121b6c56e3	Bean	1	1	1	50	50000	0.002	2	Flexible
14fe3338b38cefe24d4c31645347e6bb	Bean	12	1	1	50	50000	0.024	2	Flexible
15cda115c4497c8b502d3329321f844e	Bean	3	1	1	50	50000	0.006	2	Flexible
163352626f700f5f8d79848bcb9fb0b3	Bean	1	1	1	50	50000	0.002	2	Flexible
16ebe51d791d8ab955ce70d0e85fbc4a	Bean	1	1	1	50	50000	0.002	2	Flexible
170f54eba2d7ef30b430bd8c91ef0d91	Bean	3	1	1	50	50000	0.006	2	Flexible
1921aa72bf980605104483c477d93b03	Bean	3	1	1	50	50000	0.006	2	Flexible
197241dd768807534f44f577cc050d33	Bean	2	1	1	50	50000	0.004	2	Flexible
19a35287c4a89db92cf7feb611caa363	Bean	7	1	1	50	50000	0.014	2	Flexible
