SampleID	Methylobacterium	Pseudomonas-4	Pseudomonas-3	Unclassified Microbacteriaceae	Paenibacillus	Pseudomonas-2	Unclassified Enterobacteriaceae	Sphingomonas	Pseudomonas-1	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-2	Pantoea	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-1	Pseudomonas-5
SES-MB-FA2012-1-16S-na		956				4					3		9
SES-MB-MB2012-1-16S-na		1		1	1		1				19		
SRR3612424			382						235		23		
SRR3612441		388											
SRR3612446													
SRR3612447													
SRR3612465											9		
SRR3612933	2												
SRR3612945								121			125		
SRR3612948			345						250	1	32		
SRR3612964		372											
SRR3612973		1											
SRR3612974											1		
SRR3612983													
SRR3612993											14		
SRR3613002											10		
SRR3613030	6	53					51				12		
SRR3613037	5												
SRR3613056											14		
16SAF1						14					2		
16SAF3		2				7	2	2					
16SAF4		8				96	10				4		
16SAF6		24				59	17				40		
16SAF8		2				22					5		
16SBF1						4					1		
16SBF2						4							
16SBF2a													
16SBF3	1	1				8			1				
16SBF4						24					4		
16SBF5		6				10	1		1	2			
16SBF6												1	
16SBF6a													
16SBF7						7							
16SBF7a													
16SBF8		10		2		25	5		3		7		
16SBF9						8			5	3	2		
16SBS1		1				1							
16SBS2		8		7		5					16		
16SBS3						2							
16SBS4						5							
16SBS6						26			5				
16SBS7	1	2				8					11		
16SBS8						21							
16SBS9						35	4						
16SHS1		14				9					8		
16SHS2	4					8							
16SHS3		3				7					4		
16SHS4						29					5		
16SHS5						29							
16SHS6	5					5	2				56		
16SHS9				3		40		28					
HB31-B1-F03						1					44		
HB31-B2-G03						3					113		
HB31-B3-H03											120	1	
HB31-P1-D07						2					97		
HB31-P2-E07											114		
HB31-P3-F07						3					49		
HB35-B1-A04											147		
HB35-B2-B04											107		
HB35-B3-C04											89		
HB35-P1-G07				1		1					118		
HB35-P2-H07						6					126		
HB35-P3-A08											128		
HB37-B1-D04					1						104		
HB37-B2-E04						1		2			96		
HB37-B3-F04											92		
HB37-P1-B08						2					137		
HB37-P2-C08											112		
HB37-P3-D08						2					95		
HB39-B1-G04								1			87		
HB39-B2-H04						2					94		
HB39-B3-A05											130		
HB39-P1-E08											103		
HB39-P2-F08						1					139		
HB39-P3-G08						6					65		
HB41-B1-B05						2					144		
HB41-B2-C05						1					132		
HB41-B3-D05								1			122		
HB41-P1-H08						2					141		
HB41-P2-A09											127		
HB41-P3-B09						1					93		
HB42-B1-E05											100		
HB42-B2-F05						2		1			91		
HB42-B3-G05									1		89		
HB42-P1-C09											92		
HB42-P2-D09						6					77		
HB42-P3-E09								1			81		
HB43-B1-H05						1					117		
HB43-B2-A06						1					113		
HB43-B3-B06						2					104		
