SV	Group	Taxonomy	Confidence	Gene	Kingdom	Phylum	Class	Order	Family	Genus	Species	Taxon	Core_Specific_Plant
0e3eed00c920fc210c11444bbb13fabf	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_carnescens	0.99999741	ITS1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_carnescens		
0e7b33e2c765f285a440dfb23085e999	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_oeirense	0.813819493	ITS1	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_oeirense		
0eae92ff14a709c9dfbbda531fdc3d5f	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus;s__Cryptococcus_dimennae	0.880382634	ITS1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_dimennae		
0ed3659c325176c7eff661ec9da04c93	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellales_fam_Incertae_sedis;g__Sistotrema	0.842675996	ITS1	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Sistotrema			
0ed3d2d30d2c4b3484aa48b2fd223883	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ischnodermataceae;g__Ischnoderma;s__Ischnoderma_benzoinum	0.996144725	ITS1	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ischnodermataceae	Ischnoderma	Ischnoderma_benzoinum		
0efa2d04d9ceeca6105061e4bf3efda9	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_coprosmae	0.995469644	ITS1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella_coprosmae		
0f394431c5d068ae2c13290078241889	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Bjerkandera;s__Bjerkandera_adusta	0.999999074	ITS1	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Bjerkandera	Bjerkandera_adusta		
0f4f881bd5e5e2677abb4c377694dc26	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Bulleromyces;s__Bulleromyces_albus	0.773662098	ITS1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Bulleromyces	Bulleromyces_albus		
0f73725c78226efe695e714a0fe67a6d	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Heterocephalacria;s__Heterocephalacria_arrabidensis	0.999712244	ITS1	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Heterocephalacria	Heterocephalacria_arrabidensis		
0fbeb3e80cdbf4f545d40d101ee048e0	1	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__unidentified	0.764466503	ITS1	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	unidentified		
0fd902f32d994ad898dd7dff6de8568d	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes;s__Trametes_hirsuta	0.928287257	ITS1	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes_hirsuta		
0fe3e2645dde6eb04fb6fecc23df1443	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae	0.999995321	ITS1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_victoriae		
1000762e403a1dcdd406638e4733dc36	1	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_globosa	0.999905615	ITS1	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa		
102a83537c3f5363bcd149b2988c85d5	1	k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia;s__Wallemia_tropicalis	0.999046922	ITS1	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia_tropicalis		
